employee_id,area,home_lat,home_lon
E0001,Norderstedt,53.70499,10.03958
E0002,Rotherbaum/Harvestehude,53.57365,9.968
E0003,Ahrensburg,53.67704,10.22715
E0004,Schnelsen,53.63673,9.94327
E0005,Billstedt,53.51524,10.08865
E0006,Wedel,53.58832,9.67723
E0007,Norderstedt,53.72362,10.01943
E0008,Norderstedt,53.71355,9.99538
E0009,Winterhude,53.60251,10.01368
E0010,Uhlenhorst,53.57416,10.01888
E0011,Altona-Altstadt,53.54962,9.93671
E0012,Elmshorn,53.75252,9.65056
E0013,Bergedorf,53.4936,10.2312
E0014,Henstedt-Ulzburg,53.7813,9.9756
E0015,Rotherbaum/Harvestehude,53.57889,9.98286
E0016,Wandsbek,53.57442,10.08659
E0017,Volksdorf,53.65744,10.16318
E0018,Billstedt,53.55595,10.11645
E0019,Henstedt-Ulzburg,53.8041,9.98864
E0020,Wilhelmsburg,53.52293,10.00606
E0021,Duvenstedt/Lemsahl,53.68796,10.13067
E0022,Hoheluft,53.58071,9.97586
E0023,Wedel,53.59479,9.67693
E0024,Pinneberg,53.64248,9.76338
E0025,Norderstedt,53.68729,10.02125
E0026,Barmbek-Süd,53.58667,10.04709
E0027,Hamm,53.54411,10.03113
E0028,Rahlstedt,53.60276,10.14643
E0029,Eimsbüttel,53.57868,9.96099
E0030,Schnelsen,53.63424,9.93095
E0031,Hummelsbüttel,53.64983,10.04778
E0032,Wedel,53.57666,9.69741
E0033,Ohlsdorf,53.62618,10.03888
E0034,Altona-Altstadt,53.54564,9.95
E0035,Hamm,53.55214,10.05568
E0036,Barmbek-Süd,53.58881,10.02168
E0037,Eimsbüttel,53.56463,9.93303
E0038,Hamm,53.53766,10.0494
E0039,Wandsbek,53.587,10.08035
E0040,Lokstedt,53.60438,9.9692
E0041,Rotherbaum/Harvestehude,53.57797,9.98934
E0042,Henstedt-Ulzburg,53.81024,9.97977
E0043,Eidelstedt,53.59846,9.89644
E0044,Niendorf,53.60519,9.93579
E0045,Henstedt-Ulzburg,53.7897,9.99343
E0046,Norderstedt,53.72753,9.97462
E0047,Ottensen,53.55436,9.90801
E0048,Niendorf,53.62475,9.9479
E0049,Schnelsen,53.61652,9.93337
E0050,Eimsbüttel,53.57016,9.94517
E0051,Barmbek-Süd,53.57551,10.03667
E0052,Rahlstedt,53.60799,10.15276
E0053,Norderstedt,53.70526,10.01927
E0054,Lokstedt,53.61224,9.95316
E0055,Eidelstedt,53.59271,9.92037
E0056,Norderstedt,53.6947,10.03853
E0057,Uhlenhorst,53.57492,10.01595
E0058,Farmsen-Berne,53.60914,10.14509
E0059,Eimsbüttel,53.59162,9.95289
E0060,Winterhude,53.59728,10.01378
E0061,Lokstedt,53.59708,9.96073
E0062,Hamm,53.55382,10.06052
E0063,Farmsen-Berne,53.5985,10.09411
E0064,Norderstedt,53.66683,9.98139
E0065,Wilhelmsburg,53.4895,10.00437
E0066,Volksdorf,53.66837,10.1807
E0067,Volksdorf,53.63938,10.16856
E0068,Niendorf,53.61593,9.94545
E0069,Rahlstedt,53.60459,10.17087
E0070,Rotherbaum/Harvestehude,53.56796,10.00021
E0071,Wandsbek,53.57186,10.08408
E0072,St. Pauli,53.56299,9.96478
E0073,Ahrensburg,53.68833,10.22746
E0074,Bramfeld,53.62081,10.07109
E0075,Billstedt,53.53796,10.08503
E0076,Langenhorn,53.66473,9.99501
E0077,Niendorf,53.62666,9.96736
E0078,Bergedorf,53.4934,10.2065
E0079,Volksdorf,53.65354,10.15806
E0080,Norderstedt,53.71497,9.96312
E0081,Lokstedt,53.60065,9.9347
E0082,Ottensen,53.54303,9.93109
E0083,Quickborn,53.73595,9.89149
E0084,Barmbek-Nord,53.59448,10.0068
E0085,Rahlstedt,53.59439,10.21122
E0086,Billstedt,53.54522,10.08926
E0087,Stellingen,53.59572,9.90802
E0088,Hamm,53.55192,10.05811
E0089,Eimsbüttel,53.57431,9.96212
E0090,Horn,53.55441,10.09749
E0091,Eimsbüttel,53.56949,9.96349
E0092,Schnelsen,53.64766,9.90603
E0093,Rotherbaum/Harvestehude,53.56467,10.00282
E0094,Altona-Altstadt,53.54685,9.95848
E0095,Niendorf,53.61557,9.97328
E0096,Wilhelmsburg,53.49658,10.01496
E0097,Hoheluft,53.59082,9.97211
E0098,Billstedt,53.52871,10.09139
E0099,Winterhude,53.59962,9.97996
E0100,Wedel,53.58874,9.69224
E0101,Elmshorn,53.76548,9.61469
E0102,Eidelstedt,53.59892,9.88071
E0103,Langenhorn,53.65091,10.01436
E0104,Wedel,53.58139,9.69635
E0105,Norderstedt,53.69745,10.01521
E0106,Eidelstedt,53.59692,9.91518
E0107,Uhlenhorst,53.57631,10.02008
E0108,Langenhorn,53.66612,10.01522
E0109,Winterhude,53.61228,9.99889
E0110,Pinneberg,53.65193,9.77694
E0111,Uhlenhorst,53.56784,10.00704
E0112,Barmbek-Süd,53.57678,10.04321
E0113,Niendorf,53.62334,9.95082
E0114,Farmsen-Berne,53.59911,10.12996
E0115,Barmbek-Nord,53.61018,10.03821
E0116,Ahrensburg,53.66747,10.23477
E0117,Duvenstedt/Lemsahl,53.70988,10.08183
E0118,Stellingen,53.59146,9.93135
E0119,Rotherbaum/Harvestehude,53.5646,9.99182
E0120,Wilhelmsburg,53.47754,10.03565
E0121,Steilshoop,53.61749,10.05558
E0122,Bergedorf,53.49336,10.16573
E0123,Billstedt,53.52612,10.09436
E0124,St. Pauli,53.54464,9.96872
E0125,Rahlstedt,53.62996,10.13064
E0126,Horn,53.54614,10.09264
E0127,Alsterdorf,53.62067,9.99527
E0128,Eimsbüttel,53.57699,9.97531
E0129,Winterhude,53.58279,9.9836
E0130,Steilshoop,53.60746,10.053
E0131,Barmbek-Nord,53.61069,10.04271
E0132,Elmshorn,53.73625,9.66125
E0133,Farmsen-Berne,53.6008,10.13535
E0134,Eppendorf,53.58923,9.97689
E0135,Steilshoop,53.61325,10.06532
E0136,Rahlstedt,53.60827,10.11924
E0137,Bad Oldesloe,53.81638,10.35745
E0138,Hamm,53.55565,10.04105
E0139,Norderstedt,53.70714,9.98935
E0140,Billstedt,53.52461,10.11371
E0141,Horn,53.55369,10.08312
E0142,Horn,53.56216,10.08506
E0143,Bargteheide,53.72829,10.25987
E0144,Farmsen-Berne,53.60042,10.12378
E0145,Hamm,53.55027,10.05239
E0146,Langenhorn,53.67499,9.99169
E0147,Alsterdorf,53.59652,10.02246
E0148,Poppenbüttel,53.68194,10.07816
E0149,Rotherbaum/Harvestehude,53.55838,9.98702
E0150,Rahlstedt,53.59799,10.15275
E0151,Henstedt-Ulzburg,53.78064,9.98913
E0152,Pinneberg,53.66025,9.76509
E0153,Eimsbüttel,53.58059,9.97827
E0154,Volksdorf,53.65072,10.1576
E0155,Winterhude,53.59486,10.00788
E0156,Lokstedt,53.59089,9.95884
E0157,Langenhorn,53.6557,10.04252
E0158,Bergedorf,53.48691,10.24402
E0159,Stellingen,53.58317,9.93552
E0160,Norderstedt,53.70511,9.98775
E0161,Winterhude,53.59742,10.01552
E0162,Elmshorn,53.75076,9.62593
E0163,Bramfeld,53.61482,10.05756
E0164,Rahlstedt,53.59721,10.15517
E0165,Volksdorf,53.63194,10.13715
E0166,Altona-Altstadt,53.55089,9.93998
E0167,Henstedt-Ulzburg,53.76322,9.99307
E0168,Quickborn,53.72972,9.89158
E0169,Fuhlsbüttel,53.6261,10.02402
E0170,Bad Oldesloe,53.81449,10.41212
E0171,Niendorf,53.6242,9.9562
E0172,Eilbek,53.56717,10.05153
E0173,Bramfeld,53.62125,10.09203
E0174,Bargteheide,53.72331,10.24973
E0175,Barmbek-Nord,53.60165,10.04886
E0176,Rahlstedt,53.62298,10.14672
E0177,Rotherbaum/Harvestehude,53.56745,9.99302
E0178,Glinde/Barsbüttel,53.5423,10.21676
E0179,Pinneberg,53.63248,9.77577
E0180,Hummelsbüttel,53.64174,10.0113
E0181,Pinneberg,53.64536,9.77436
E0182,Pinneberg,53.65299,9.80681
E0183,Eilbek,53.56677,10.03675
E0184,Fuhlsbüttel,53.63366,10.02607
E0185,Norderstedt,53.68438,9.98669
E0186,Bergedorf,53.4957,10.20775
